month,temperature,humidity,water_level,cluster_id,device_id
1,25,73,20,1,Northcid1ind0
1,14.8,72.9,23.9,1,Northcid1ind0
1,14.8,72.5,20.4,1,Northcid1ind0
1,17.4,72.4,24.1,1,Northcid1ind0
1,18.2,72.8,24.7,1,Northcid1ind0
1,11.9,72.2,23.9,1,Northcid1ind0
1,14.7,72.2,21.8,1,Northcid1ind0
1,10.6,72.8,39.2,1,Northcid1ind0
1,26.9,72.5,24.2,1,Northcid1ind0
1,16.1,72.6,20.1,1,Northcid1ind0
1,20.3,72.5,21.3,1,Northcid1ind0
1,17.8,72.7,33.8,1,Northcid1ind0
1,18.2,72.5,19.6,1,Northcid1ind0
1,21.5,72.7,21.2,1,Northcid1ind0
1,14.9,72.7,15.2,1,Northcid1ind0
1,20.3,72.7,18.4,1,Northcid1ind0
1,15.8,72.5,24.2,1,Northcid1ind0
1,17.5,72.2,30.1,1,Northcid1ind0
1,22.4,72.7,17.5,1,Northcid1ind0
1,19.2,72.8,23.9,1,Northcid1ind0
1,25.2,72.9,24.3,1,Northcid1ind0
1,17.5,72.2,20.9,1,Northcid1ind0
1,16.8,72.4,23.9,1,Northcid1ind0
1,17,73,23.7,1,Northcid1ind0
1,14.3,72.1,25,1,Northcid1ind0
1,18.1,72.6,23.2,1,Northcid1ind0
1,18.2,72.5,19.2,1,Northcid1ind0
1,19.9,72.4,23.1,1,Northcid1ind0
1,18.7,73,29.2,1,Northcid1ind0
1,19.3,72.1,25.5,1,Northcid1ind0
1,24.1,73,18.8,1,Northcid1ind0
2,28.8,73.2,21.6,1,Northcid1ind0
2,20.7,73.4,23.6,1,Northcid1ind0
2,24.3,72.9,19.9,1,Northcid1ind0
2,20.7,72.7,19.3,1,Northcid1ind0
2,27.9,73.2,22.8,1,Northcid1ind0
2,24.4,73.1,23.8,1,Northcid1ind0
2,24.2,73.1,23.3,1,Northcid1ind0
2,24.9,72.5,22.9,1,Northcid1ind0
2,22.9,73,22.4,1,Northcid1ind0
2,23.8,73.1,20.2,1,Northcid1ind0
2,26.6,73.3,24.6,1,Northcid1ind0
2,27.6,72.6,20.3,1,Northcid1ind0
2,22.6,73.3,23.4,1,Northcid1ind0
2,25,72.8,23,1,Northcid1ind0
2,24.6,73.4,19.5,1,Northcid1ind0
2,25.7,72,21.1,1,Northcid1ind0
2,13,72.3,23.8,1,Northcid1ind0
2,28.1,72.5,25.2,1,Northcid1ind0
2,20.5,72.6,23,1,Northcid1ind0
2,24.7,72.3,24.5,1,Northcid1ind0
2,21.5,73.7,18,1,Northcid1ind0
2,19.8,73.2,21.5,1,Northcid1ind0
2,21.4,72.6,17.2,1,Northcid1ind0
2,22.4,72.8,19.6,1,Northcid1ind0
2,24.5,72.9,19.7,1,Northcid1ind0
2,23.5,73,18.1,1,Northcid1ind0
2,23.8,73.5,22.2,1,Northcid1ind0
2,22.3,72.6,20.5,1,Northcid1ind0
3,36,69.7,20.7,1,Northcid1ind0
3,32.4,68.7,21.1,1,Northcid1ind0
3,36,68.8,16.9,1,Northcid1ind0
3,35.1,68.6,22.6,1,Northcid1ind0
3,36.1,70.4,17.3,1,Northcid1ind0
3,35.8,68.5,22.9,1,Northcid1ind0
3,25.3,69,20.6,1,Northcid1ind0
3,38.8,69.3,19.7,1,Northcid1ind0
3,27.7,68.9,21.1,1,Northcid1ind0
3,27.9,69.5,19.3,1,Northcid1ind0
3,44.2,68.7,17.8,1,Northcid1ind0
3,35.9,70.1,15,1,Northcid1ind0
3,38.2,69.2,20.6,1,Northcid1ind0
3,26.7,68.9,20.3,1,Northcid1ind0
3,36.6,68.5,21.8,1,Northcid1ind0
3,30.6,68.4,25.7,1,Northcid1ind0
3,42.7,68.8,25.5,1,Northcid1ind0
3,40.9,68.4,16.2,1,Northcid1ind0
3,42,69.8,19.6,1,Northcid1ind0
3,30.1,69.1,26.2,1,Northcid1ind0
3,36.4,68.8,16.5,1,Northcid1ind0
3,44.4,69.8,24.6,1,Northcid1ind0
3,28.2,68.9,24.2,1,Northcid1ind0
3,32.8,69.1,27.5,1,Northcid1ind0
3,42.4,69.5,17.1,1,Northcid1ind0
3,30.9,69.4,19,1,Northcid1ind0
3,40.8,70.7,22.8,1,Northcid1ind0
3,35.9,70.6,21.8,1,Northcid1ind0
3,42.8,69.2,22.3,1,Northcid1ind0
3,44.7,69.4,23.9,1,Northcid1ind0
3,29.9,70.3,15.7,1,Northcid1ind0
4,53.4,65,14.2,1,Northcid1ind0
4,46.6,65.6,18.1,1,Northcid1ind0
4,49.2,65.4,21.5,1,Northcid1ind0
4,57.1,66.4,14.2,1,Northcid1ind0
4,51.5,64.5,10.5,1,Northcid1ind0
4,61.8,64.4,16,1,Northcid1ind0
4,36.9,65.2,16.2,1,Northcid1ind0
4,52.1,64.7,16.3,1,Northcid1ind0
4,42.9,64.5,24.1,1,Northcid1ind0
4,42.1,64.8,15.6,1,Northcid1ind0
4,43.9,65.5,14.1,1,Northcid1ind0
4,39.8,64.1,17.8,1,Northcid1ind0
4,41.1,64.3,18.8,1,Northcid1ind0
4,44.9,65.4,21.5,1,Northcid1ind0
4,40.9,66.1,26.3,1,Northcid1ind0
4,43.6,65.9,17.1,1,Northcid1ind0
4,49.8,66.2,15.3,1,Northcid1ind0
4,48.8,64.4,23.6,1,Northcid1ind0
4,53.1,65.2,17.7,1,Northcid1ind0
4,46.7,64.3,20.7,1,Northcid1ind0
4,44.1,64.8,18.5,1,Northcid1ind0
4,42.3,66.2,19.5,1,Northcid1ind0
4,40.2,64.1,20.4,1,Northcid1ind0
4,34.5,64.7,17.9,1,Northcid1ind0
4,50.1,63.9,18,1,Northcid1ind0
4,53,64.6,15.9,1,Northcid1ind0
4,41.7,64.4,14.4,1,Northcid1ind0
4,40.1,64.8,14.4,1,Northcid1ind0
